ID,Area,Competitor,Beds,Baths,Model,Security Deposit,Report Date,Type,Pricing,Sqft,Available,Unit,Address,URL,Bed/Baths
Commonwealth Apartments Studio,Allston Area,Commonwealth Apartments,0,1,Studio,,12/17/2024,Grid,1900,250,"Mar 2, 2025",33,"1144-1160 Commonwealth Ave, Allston, MA 02134",https://www.apartments.com/commonwealth-apartments-allston-ma/vc1svhg/,0 Bed 1 Bath
Commonwealth Apartments Studio-Alcove,Allston Area,Commonwealth Apartments,0,1,Studio-Alcove,,12/17/2024,Grid,1975,360,Now,40,"1144-1160 Commonwealth Ave, Allston, MA 02134",https://www.apartments.com/commonwealth-apartments-allston-ma/vc1svhg/,0 Bed 1 Bath
Commonwealth Apartments Studio-Small,Allston Area,Commonwealth Apartments,0,1,Studio-Small,,12/17/2024,Grid,2000,200,"Jan 2, 2025",12A,"1144-1160 Commonwealth Ave, Allston, MA 02134",https://www.apartments.com/commonwealth-apartments-allston-ma/vc1svhg/,0 Bed 1 Bath
Commonwealth Apartments Studio-Small,Allston Area,Commonwealth Apartments,0,1,Studio-Small,,12/17/2024,Grid,2000,200,"Mar 2, 2025",12,"1144-1160 Commonwealth Ave, Allston, MA 02134",https://www.apartments.com/commonwealth-apartments-allston-ma/vc1svhg/,0 Bed 1 Bath
Commonwealth Apartments 1 Bedroom,Allston Area,Commonwealth Apartments,1,1,1 Bedroom,,12/17/2024,Grid,2050,525,Now,0C,"1144-1160 Commonwealth Ave, Allston, MA 02134",https://www.apartments.com/commonwealth-apartments-allston-ma/vc1svhg/,1 Bed 1 Bath
Commonwealth Apartments 1 Bedroom,Allston Area,Commonwealth Apartments,1,1,1 Bedroom,,12/17/2024,Grid,2200,480,Now,10,"1144-1160 Commonwealth Ave, Allston, MA 02134",https://www.apartments.com/commonwealth-apartments-allston-ma/vc1svhg/,1 Bed 1 Bath
Commonwealth Apartments 1 Bedroom,Allston Area,Commonwealth Apartments,1,1,1 Bedroom,,12/17/2024,Grid,2200,500,"Jan 2, 2025",11,"1144-1160 Commonwealth Ave, Allston, MA 02134",https://www.apartments.com/commonwealth-apartments-allston-ma/vc1svhg/,1 Bed 1 Bath
Commonwealth Apartments 1 Bedroom,Allston Area,Commonwealth Apartments,1,1,1 Bedroom,,12/17/2024,Grid,2250,500,"Feb 2, 2025",49,"1144-1160 Commonwealth Ave, Allston, MA 02134",https://www.apartments.com/commonwealth-apartments-allston-ma/vc1svhg/,1 Bed 1 Bath
Commonwealth Apartments 1 Bedroom,Allston Area,Commonwealth Apartments,1,1,1 Bedroom,,12/17/2024,Grid,2250,500,"Jun 2, 2025",11,"1144-1160 Commonwealth Ave, Allston, MA 02134",https://www.apartments.com/commonwealth-apartments-allston-ma/vc1svhg/,1 Bed 1 Bath
Commonwealth Apartments 2 Bedroom,Allston Area,Commonwealth Apartments,2,1,2 Bedroom,,12/17/2024,Grid,2300,625,Now,0B,"1144-1160 Commonwealth Ave, Allston, MA 02134",https://www.apartments.com/commonwealth-apartments-allston-ma/vc1svhg/,2 Bed 1 Bath
Regency Building Regency Studio,Allston Area,Regency Building,0,1,Regency Studio,,12/17/2024,Grid,2100,455,"Jan 1, 2025",2ndFloorStudio-01,"1455 Commonwealth Ave, Brighton, MA 02135",https://www.apartments.com/regency-building-brighton-ma/fb1e03v/,0 Bed 1 Bath
Regency Building Regency Studio,Allston Area,Regency Building,0,1,Regency Studio,,12/17/2024,Grid,2100,455,"Jan 1, 2025",1stFloorStudio,"1455 Commonwealth Ave, Brighton, MA 02135",https://www.apartments.com/regency-building-brighton-ma/fb1e03v/,0 Bed 1 Bath
Residences at Brighton Marine 1 Bedroom,Allston Area,Residences at Brighton Marine,1,1,1 Bedroom,,12/17/2024,Grid,1333,693,Now,510,"1465 Commonwealth Ave, Boston, MA 02135",https://www.apartments.com/residences-at-brighton-marine-boston-ma/00exlr3/,1 Bed 1 Bath
Residences at Brighton Marine 1 Bedroom,Allston Area,Residences at Brighton Marine,1,1,1 Bedroom,,12/17/2024,Grid,1695,693,Now,609,"1465 Commonwealth Ave, Boston, MA 02135",https://www.apartments.com/residences-at-brighton-marine-boston-ma/00exlr3/,1 Bed 1 Bath
27 Saint Lukes Rd Studio,Allston Area,27 Saint Lukes Rd,0,1,Studio,,12/17/2024,Grid,1850,500,Now,B,"27 Saint Lukes Rd, Allston, MA 02134",https://www.apartments.com/27-saint-lukes-rd-allston-ma/62e29gt/,0 Bed 1 Bath
27 Saint Lukes Rd Studio,Allston Area,27 Saint Lukes Rd,0,1,Studio,,12/17/2024,Grid,2050,500,"Jun 1, 2025",4,"27 Saint Lukes Rd, Allston, MA 02134",https://www.apartments.com/27-saint-lukes-rd-allston-ma/62e29gt/,0 Bed 1 Bath
35 Orkney Rd studios,Chestnut Hill Area,35 Orkney Rd,0,1,studios,,12/17/2024,Grid,1900,500,"Jan 1, 2025",505,"35 Orkney Rd, Boston, MA 02135",https://www.apartments.com/35-orkney-rd-boston-ma/811kn01/,0 Bed 1 Bath
